Cold Hands/Feet,"Ginger, Cayenne Pepper, Ginkgo Biloba, Warm Socks, Hydration, Iron, Exercise, Avoid Nicotine","Drink ginger tea. Add cayenne to food. Ginkgo improves circulation. Wear wool socks. Check iron levels. Arm circles boost blood flow."
Dark Circles,"Cold Spoon, Cucumber, Tea Bags, Vitamin K Cream, Almond Oil, Hydration, Sleep, Sunscreen","Chilled spoon depuffs. Cucumber slices for 10 minutes. Vitamin K cream lightens. Almond oil at night. Sleep 7-8 hours. SPF prevents pigmentation."
Dry Hair,"Olive Oil, Honey, Avocado, Egg Mask, Aloe Vera, Coconut Milk, Avoid Heat, Silk Pillowcase","Mix 2 tbsp olive oil with 1 tsp honey; leave for 30 minutes. Avocado or egg masks weekly. Sleep on silk. Limit blow-drying."
Edema,"Parsley Tea, Epsom Salt, Magnesium, Compression, Elevation, Cucumber, Dandelion, Hydration","Drink parsley tea 2x daily. Epsom salt foot soak. Wear compression socks. Elevate legs. Cucumber slices reduce swelling. Dandelion tea flushes fluids."
Food Poisoning,"Activated Charcoal, Ginger, Peppermint, Hydration, BRAT Diet, Probiotics, Rest, Electrolytes","Take activated charcoal (consult doctor). Sip ginger tea. BRAT diet when able. Probiotics restore gut. Electrolyte solutions prevent dehydration."
Gum Disease,"Green Tea, Coconut Oil, Vitamin C, CoQ10, Probiotics, Baking Soda, Hydration, Dental Visits","Rinse with green tea 2x daily. Oil pulling with coconut oil. Vitamin C strengthens gums. CoQ10 reduces inflammation. Regular cleanings."
Hangnails,"Vitamin E Oil, Warm Water, Coconut Oil, Tea Tree Oil, Moisturizer, Gloves, Avoid Biting, Hydration","Soak in warm water for 5 minutes. Apply vitamin E oil. Coconut oil overnight. Wear gloves when washing dishes. Don’t pick at nails."
Hot Flashes,"Black Cohosh, Flaxseeds, Soy, Evening Primrose Oil, Cotton Layers, Hydration, Deep Breathing, Cool Room","Take black cohosh (consult doctor). Ground flaxseeds daily. Soy milk. Wear breathable layers. Sip cold water. 4-7-8 breathing technique."
Jock Itch,"Tea Tree Oil, Coconut Oil, Garlic, Apple Cider Vinegar, Cornstarch, Loose Clothing, Hygiene, Sunlight","Apply diluted tea tree oil 2x daily. Coconut oil with garlic paste. ACV rinse. Keep area dry with cornstarch. Wear loose cotton."
Knee Pain,"Turmeric, Ice Pack, Epsom Salt, Omega-3, Compression, Low-Impact Exercise, Weight Management, Acupuncture","Turmeric milk reduces inflammation. Ice for 15 minutes hourly. Epsom salt baths. Omega-3 supplements. Swimming strengthens knees."
Lactose Intolerance,"Ginger, Lactase Enzyme, Probiotics, Almond Milk, Hard Cheeses, Yogurt, Digestive Aids, Small Portions","Take lactase enzyme before dairy. Ginger tea settles stomach. Probiotic yogurt may be tolerated. Almond milk substitutes. Aged cheeses have less lactose."
Morning Sickness,"Ginger, Lemon, Peppermint, Small Meals, Acupressure, Vitamin B6, Hydration, Fresh Air","Suck on ginger candy. Smell fresh lemon. Peppermint tea. Eat crackers before rising. Sea-Bands wrist pressure. Vitamin B6 supplements."
Pink Eye,"Chamomile Tea Bags, Salt Water, Breast Milk, Honey, Cold Compress, Hygiene, Avoid Contacts, Hydration","Place cooled chamomile tea bags on eyes for 10 minutes. Breast milk drops (if breastfeeding). Salt water rinses. Wash hands frequently."
Plantar Warts,"Apple Cider Vinegar, Banana Peel, Duct Tape, Garlic, Tea Tree Oil, Salicylic Acid, Patience, Podiatrist","Soak cotton ball in ACV; tape to wart overnight. Banana peel or garlic patches. Tea tree oil daily. See podiatrist if persistent."
Restless Sleep,"Valerian Root, Warm Milk, Magnesium, Lavender, Sleep Routine, Cool Room, No Screens, White Noise","Valerian root tea 1 hour before bed. Warm milk with honey. Magnesium relaxes muscles. Lavender pillow spray. Consistent bedtime."
Sprains,"Arnica Gel, Ice Pack, Compression, Elevation, Turmeric, Epsom Salt, Gentle Movement, Time","Ice for 20 minutes hourly. Arnica gel reduces swelling. Compression wrap. Elevate injured limb. Turmeric tea speeds healing. Gradual mobility."
Tinnitus,"Ginkgo Biloba, Salt Reduction, Magnesium, White Noise, Hydration, Avoid Loud Noises, Stress Management, Zinc","Ginkgo biloba improves circulation. Low-sodium diet. Magnesium supplements. Background noise masks ringing. Stress worsens symptoms. Zinc may help."
Toenail Fungus,"Vicks VapoRub, Tea Tree Oil, Vinegar Soak, Garlic, Oregano Oil, Sunlight, Clean Socks, Patience","Apply Vicks or tea tree oil daily. Vinegar soaks 3x weekly. Garlic paste under nail. Wear breathable shoes. Takes months to heal."
Vertigo,"Ginger, Ginkgo Biloba, Hydration, Epley Maneuver, Magnesium, Stress Reduction, Balance Exercises, Acupuncture","Chew ginger. Ginkgo biloba supplements. Epley maneuver for BPPV. Stay hydrated. Balance exercises like tai chi. Acupuncture may help."
Whitening Teeth,"Baking Soda, Strawberries, Coconut Oil, Hydrogen Peroxide, Apple Peel, Activated Charcoal, Dental Visits, Moderation","Mix baking soda with hydrogen peroxide (3%); brush gently. Rub strawberry paste or apple peel. Oil pulling. Charcoal sparingly. No overuse."
name,ingredients,instructions
Asthma,"Licorice Root, Ginger, Honey, Turmeric, Mustard Oil, Coffee, Eucalyptus Oil, Steam","Boil licorice root and ginger in water for 10 minutes. Add honey and turmeric. Inhale steam with eucalyptus oil. Mustard oil massage on chest. Caffeine in coffee can ease bronchial tubes."
Bronchitis,"Thyme, Honey, Onion, Garlic, Turmeric, Steam, Pineapple, Hydration","Make thyme tea with honey. Onion-garlic syrup (simmer chopped onion/garlic with honey). Turmeric milk. Bromelain in pineapple reduces mucus. Steam inhalation 3x daily."
Canker Sores,"Coconut Oil, Salt Water, Aloe Vera, Chamomile Tea, Baking Soda, Vitamin B12, Zinc, Yogurt","Rinse with salt water or baking soda solution. Apply coconut oil or aloe vera gel. Chamomile tea compress. Vitamin B12 and zinc speed healing. Probiotic yogurt balances mouth flora."
Carpal Tunnel,"Turmeric, Omega-3, Warm Compress, Epsom Salt, Vitamin B6, Stretching, Arnica Gel, Rest","Turmeric milk reduces inflammation. Omega-3s (flaxseeds). Warm compress on wrist. Epsom salt soak. Vitamin B6 supports nerves. Wrist stretches hourly."
Cholesterol,"Cinnamon, Garlic, Apple Cider Vinegar, Flaxseeds, Green Tea, Oats, Almonds, Exercise","Mix 1 tsp cinnamon, 1 crushed garlic clove, and 1 tbsp ACV in warm water daily. Eat flaxseeds and oats. Green tea lowers LDL. Handful of almonds."
Colic,"Chamomile Tea, Fennel Seeds, Warm Bath, Probiotics, Gripe Water, Massage, Peppermint Oil, Swaddling","Give chamomile or fennel tea (cooled). Warm bath with lavender oil. Baby massage (clockwise on belly). Probiotic drops. Swaddle for comfort."
Conjunctivitis,"Breast Milk, Chamomile Tea, Saline Solution, Honey, Cold Compress, Turmeric, Hygiene, Rest","Apply breast milk (if breastfeeding) or cooled chamomile tea bags to eyes. Saline rinse. Raw honey (diluted) has antibacterial properties. Avoid rubbing."
Crohn's Flare,"Aloe Vera Juice, Slippery Elm, Bone Broth, Probiotics, Turmeric, Ginger, Hydration, Low-Fiber Diet","Drink aloe vera juice (1/4 cup). Slippery elm soothes gut lining. Bone broth heals. Turmeric-ginger tea. Avoid raw veggies during flare."
Dental Pain,"Clove Oil, Salt Water, Garlic, Peppermint Tea Bag, Cold Compress, Turmeric, Hydration, Dentist","Dab clove oil on gum. Salt water rinse. Crushed garlic on tooth. Peppermint tea bag compress. See dentist if persistent."
Depression,"Saffron, Omega-3, St. John’s Wort, Sunlight, Exercise, Dark Chocolate, Meditation, Socializing","Saffron tea (3 strands steeped). Omega-3s (walnuts). St. John’s Wort (consult doctor). 30-minute walks. 85% dark chocolate boosts serotonin."
Diverticulitis,"Bone Broth, Aloe Vera, Probiotics, Ginger Tea, Low-Residue Diet, Hydration, Rest, Avoid Nuts","Fast with bone broth for 24 hours. Aloe vera juice reduces inflammation. Probiotics restore flora. Ginger tea settles stomach. No seeds/nuts."
Dry Cough,"Marshmallow Root, Honey, Thyme, Licorice, Steam, Almond Milk, Turmeric, Hydration","Marshmallow root tea coats throat. Honey-thyme syrup. Licorice tea reduces irritation. Steam with eucalyptus. Turmeric-almond milk at bedtime."
Ear Infection,"Garlic Oil, Mullein Oil, Warm Compress, Breast Milk, Hydration, Rest, Onion Poultice, Avoid Q-Tips","Warm garlic oil drops (2-3 in ear). Mullein oil fights infection. Onion poultice over ear. Breast milk (if breastfeeding). No insertion of objects."
Endometriosis,"Turmeric, Omega-3, Castor Oil Pack, Ginger, Magnesium, Heat Pad, Anti-Inflammatory Diet, Acupuncture","Turmeric capsules daily. Castor oil packs on abdomen. Ginger tea reduces pain. Magnesium relaxes muscles. Heat pad for cramps."
Fibromyalgia,"Magnesium, Turmeric, Epsom Salt Bath, CBD Oil, Gentle Yoga, Hydration, Tart Cherry Juice, Sleep","Magnesium glycinate supplements. Turmeric tea. Epsom salt baths weekly. CBD oil for pain. Tart cherry juice reduces inflammation."
Food Allergy,"Quercetin, Local Honey, Probiotics, Vitamin C, Nettle Tea, Hydration, Elimination Diet, Omega-3","Quercetin supplements stabilize mast cells. Local honey builds tolerance. Probiotics balance gut. Nettle tea reduces histamine. Avoid triggers."
Gallbladder Pain,"Apple Juice, Lemon, Beetroot, Dandelion Tea, Peppermint, Heat Pad, Hydration, Low-Fat Diet","Apple juice softens stones. Lemon water flushes bile. Beetroot juice cleanses. Dandelion tea supports liver. Low-fat meals prevent attacks."
Gastritis,"Cabbage Juice, Aloe Vera, Slippery Elm, Chamomile, Probiotics, Coconut Water, Small Meals, Rest","Drink fresh cabbage juice daily. Aloe vera soothes lining. Slippery elm powder in water. Chamomile tea. Avoid spicy/acidic foods."
Glaucoma,"Bilberry, Omega-3, Green Tea, Magnesium, Eye Exercises, Hydration, Dark Leafy Greens, No Caffeine","Bilberry supplements improve circulation. Omega-3s protect optic nerve. Green tea antioxidants. Eye rolls (clockwise/counterclockwise)."
Gum Recession,"Green Tea, Coconut Oil, Aloe Vera, Vitamin C, CoQ10, Gentle Brushing, Hydration, Flossing","Rinse with green tea. Oil pulling with coconut oil. Aloe vera gel massage. Vitamin C strengthens gums. Soft-bristle brush only."
H. Pylori,"Manuka Honey, Cabbage Juice, Probiotics, Green Tea, Mastic Gum, Broccoli Sprouts, Hydration, Avoid NSAIDs","1 tsp Manuka honey on empty stomach. Cabbage juice heals ulcers. Mastic gum kills bacteria. Broccoli sprouts (sulforaphane)."
Halitosis,"Parsley, Probiotics, Zinc, Fennel Seeds, Apple Cider Vinegar, Tongue Scraper, Hydration, Clove","Chew parsley after meals. Zinc lozenges. Fennel seeds freshen breath. ACV rinse (diluted). Scrape tongue daily."
Heart Palpitations,"Magnesium, Hawthorn Berry, Valerian Root, Hydration, Deep Breathing, Bananas, Avoid Caffeine","Magnesium glycinate at bedtime. Hawthorn berry tea regulates rhythm. Valerian root calms nerves. Banana (potassium). 4-7-8 breathing."
Hemorrhoids,"Witch Hazel, Coconut Oil, Aloe Vera, Epsom Salt, Fiber, Hydration, Horse Chestnut, Ice Pack","Apply witch hazel pads or coconut oil 3x daily. Sitz bath with Epsom salt. Aloe vera reduces swelling. High-fiber diet."
Hepatitis,"Milk Thistle, Dandelion Root, Turmeric, Lemon Water, Artichoke, Hydration, Rest, Low-Fat Diet","Milk thistle tea supports liver. Dandelion root detox. Turmeric reduces inflammation. Lemon water flushes toxins. Avoid alcohol."
Hypothyroidism,"Seaweed, Brazil Nuts, Coconut Oil, Vitamin D, Zinc, Selenium, Exercise, Avoid Soy","Seaweed (iodine). Brazil nuts (selenium). Coconut oil boosts metabolism. Vitamin D supplements. Limit goitrogenic foods (raw kale)."
Malaria,"Papaya Leaf, Ginger, Turmeric, Lemon, Honey, Cinnamon, Holy Basil, Hydration","Crush 2 fresh papaya leaves to extract juice; take 1 tbsp twice daily. Drink ginger-turmeric tea with honey and lemon. Cinnamon boosts immunity. Holy basil (tulsi) tea fights infection. Stay hydrated with electrolytes to prevent dehydration from fever."
Dengue,"Papaya Leaf, Giloy Juice, Pomegranate, Coconut Water, Turmeric, Neem, Fenugreek Seeds, Hydration","Papaya leaf juice (2 tbsp 3x daily) increases platelet count. Giloy (Guduchi) juice strengthens immunity. Pomegranate juice restores RBCs. Coconut water prevents dehydration. Boil neem leaves and fenugreek seeds; strain and drink to detox."
Cancer (Supportive Care),"Turmeric, Ginger, Green Tea, Flaxseeds, Mushrooms (Reishi/Shiitake), Broccoli Sprouts, Vitamin D, Hydration","Turmeric (1 tsp + black pepper) in warm milk reduces inflammation. Ginger-green tea combats nausea. Flaxseeds (omega-3) slow tumor growth. Reishi mushroom tea boosts immunity. Broccoli sprouts (sulforaphane) detoxify. Vitamin D supplements may help. Consult oncologist."
